gravity-simulator	true	Recreate the effects of the forces of gravity on Mooncake the Raspberry Pi Foundation's cat. 
weather-station-guide	false	Instructions and tutorials on how to set up the Raspberry Pi weather station
sense-hat-pong	true	One-player Pong using the Sense HAT
pixel-pet	false	Make an interactive space pet with your Raspberry Pi and a Sense HAT. 
weightlessness	true	Simulate the effects of weightlessness in Space with this Scratch game
noobs-install	true	Cross platform resource to teach how to install Raspbian with NOOBS
physical-computing-guide	true	[REDIRECT ONLY] A guide to physical computing on the Raspberry Pi 
introduction-to-processing	true	Learn how to create graphics with code in Processing
getting-started-with-gpio-zero	true	A resource to teach the fundamentals of the GPIO Zero library
physical-computing-with-scratch	false	An introduction to using Scratch with the Raspberry Pi GPIO pins
visualising-sorting-with-python	true	A series of lessons using matplotlib to visualise sorting algorithms
people-in-space-indicator	false	Use the Python requests module to access the People in Space API and create an indicator to show the number of people currently in space.
n-days-of-christmas	true	Resource to produce a version of The Twelve Days of Christmas in Python3, with random nouns and verbs for N days.
sense-hat-random-sparkles	false	Let your Sense HAT shine with pride
3d-printed-astro-pi-flight-case	false	How to 3D print your very own Astro Pi flight case
sensing-science	true	Science resources for KS3/KS4
laser-tripwire	false	Testing new resource style
see-like-a-bat	true	Echolocation with a Raspberry Pi 
exploring-space-with-minecraft	true	Using Minecraft & Astro Pi to explore space 
edu-image	false	Script to customise a raspbian install for education team
secret-agent-chat	true	A resource on using One-time pads to encrypt and decrypt secret messages in Python
dress-for-the-weather	true	A resource to write a program that tells the user what they should wear, if travelling to any city in the world.
camjam-kit-1	false	Get started with CamJam Edu Kit 1 using Python and GPIO Zero
getting-started-with-python	false	Get started with basic Python on Raspberry Pi
window-on-the-weather	true	Create a magic window in Scratch so you can see what the weather is like, anywhere in the world
getting-started-with-picamera	false	Get started with the Raspberry Pi Camera Module using Python and the picamera library
physical-computing-with-python	true	A resource to teach the basics of physical computing with the Raspberry Pi
getting-started-with-microbit	true	A resource to set up and program the microbit from the Raspberry pi using mu and micropython
microbit-selfies	true	Build a microbit controlled selfie booth with Raspberry Pi
microbit-game-controller	true	Use a micro:bit to control a sprite in Scratch
assets	false	Reusable assets used in resources
microbit-meteorologist	true	Forecast the weather with your micro:bit
quick-start-guide	false	Help getting your Raspberry Pi set up and started for the first time. Great for anyone new to Raspberry Pi.
hardware-guide	true	Setting up the hardware for a Raspberry Pi
software-guide	true	Installing and using Raspbian on the Raspberry Pi
getting-started-with-the-twitter-api	true	A guide to connecting to Twitter from Python using Twython
teachers-guide	false	Guide for using Raspberry Pis in the classroom
parents-guide	false	Guide to using the Raspberry Pi for parents
troubleshooting-guide	false	Frequently Asked Questions about the Raspberry Pi
addons-guide	false	A guide to using extras like HATs and the Case
explorer-hat-cheat-sheet	false	Quick cheat sheet for the ExplorerHAT Pro
scratch-olympics-weightlifter	true	Make a retro weightlifter game in Scratch
scratch-olympics-hurdler	true	hurdle game in Scratch
minecraft-selfies	true	Render selfies in minecraft blocks
whoopi-cushion	false	Make a Raspberry Pi Whoo-pi cushion
scary-spot-the-difference	false	Play a prank on your friends and family, by tricking them into thinking they're playing a Spot the Difference game
pyconuk_2016	false	Code and projects for PyConUk 2016
micromine-bitcraft	true	Learn how to use your micro:bit to help (or sabotage!) Steve in Minecraft Pi
picademy-cheat-sheets	false	Cheat Sheets to support Picademy
lights-out	true	A fast and furious game where you turn lights off
fetching-the-weather	true	Resource to fetch weather data from nearby weather stations
using-scratch2	true	Using Scratch 2.0 on Raspberry Pi
cat-meme-generator	true	Make cool cat memes to share with your friends
graphing-the-weather	true	Collect data from a database using a RESTful API, and then graph that data using matplotlib
mapping-the-weather	true	Resource to map the weather from the weather station database
weather-station-dashboard	false	A resource to access the weather-station database in Scratch
astro-pi-flight-case	true	3D printed Astro Pi flight case
jam-worksheets	false	Short worksheets for small activities for use at Raspberry Jams
space-maze	true	space themed maze game in Scratch 2.0
getting-started-with-wearables	true	A simple guide to getting started with an Adafruit FLORA
getting-started-with-node-red	true	A basic guide to using Node RED on the Raspberry Pi
talk-like-a-pirate	false	Turn your text into pirate speak using HTML and jQuery
raspberry-pi-zero-time-lapse-cam	true	A wearable timelapse camera using a Raspberry Pi Zero
the-all-seeing-pi	true	Create a tweeting touch screen photo booth
shakespearean-insult-generator	false	Insult your friends like an Elizabethan
build-a-robot-buggy	true	Resource to create a Raspberry Pi Robot Buggy
explorer-hat-buggy	false	Make a very simple buggy using a Raspberry Pi and an Explorer HAT
poo-near-you	true	Map open data onto Google maps to learn more about your local area
getting-started-with-guis	false	Create simple Python GUIs using guizero
getting-started-with-git	true	A guide to getting started with git
shapes	false	Code for a very simple shapes class for the OOP course 
using-pip-on-windows	false	Find out how to use pip to install Python packages on Windows
getting-started-with-soldering	false	Learn the basics of how to solder
octapi-setup	false	Set up files for the OctaPi
oop-course	false	Materials for the Futurelearn OOP course
CoderDojo-organiser-resources	false	Handbooks and other materials for organising a Dojo.
scouts-downloads	false	For downloadable Scouts content.
translation-glossary	false	Glossary of terms repeatedly used in Raspberry Pi projects and other resources. 
nttt	false	Nina's Translation Tidy-up Tool
monster-battle	false	Dev activity for OOP
scouts-graphics	false	A scouts activity to create sprites for a game
scouts-do-it-pass-it	false	micro:bit game - complete the action and pass it on
scouts-scratch	false	How to use scratch guide for scouts
fl_networking_tools	false	Repository for the Python module required for the Networking with Python: Programming sockets for communication course on FutureLearn from the Raspberry Pi Foundation
ILT_VS_Code_md_snippets	false	Markdown snippets for VS code
web-discover	false	Discover projects for the Web path
ada-code-samples	false	Code examples to support various Computer Science materials
programming101	true	Hosts code editor snippets for use in prog 101 online course
code-editor-test-pb	false	testing the Editor build process
uk_bebras_public	false	UK Bebras and Coding Challenge
bebras_private	false	For bebras documentation and public facing material
aaawysiwyg	false	Test wysiwyg repo edits
